[2026-01-29 10:29:51][INFO] 日志文件创建于: /data/sda/zjc/comsol_pinn/logs/M04c/exp01/train_20260129_102951_gpu1_pid1035480.log
[2026-01-29 10:29:51][INFO] 进程 PID: 1035480
[2026-01-29 10:29:51][INFO] ========== PINN 训练开始 ==========
[2026-01-29 10:29:51][INFO] 物理项权重 λ_pde = 0.1
[2026-01-29 10:29:51][INFO] 使用设备: cuda
[2026-01-29 10:29:51][INFO] 训练参数: {'lambda_pde': 0.1, 'epochs': 200, 'lr': 0.005, 'batch_cases': 1, 'use_pde_anneal': True, 'pde_anneal_gamma': 0.03, 'pde_lambda_min': 0.0, 'use_soft_mask': False, 'mask_alpha': 40.0, 'mask_temp_ratio': 0.7, 'points_per_case': 320000, 'device': 'cuda', 'num_workers': 8, 'log_dir': 'logs/M04c/exp01', 'ckpt_dir': 'checkpoints/M04c/exp01'}
[2026-01-29 10:29:51][INFO] 数据集大小: 141 cases
[2026-01-29 10:29:51][INFO] 每 case 采样点数: 320000
[2026-01-29 10:29:52][INFO] 模型结构:
SimplePINN(
  (net): Sequential(
    (0): Linear(in_features=7, out_features=128, bias=True)
    (1): SiLU()
    (2): Linear(in_features=128, out_features=128, bias=True)
    (3): SiLU()
    (4): Linear(in_features=128, out_features=1, bias=True)
  )
)
[2026-01-29 10:29:52][INFO] 优化器: AdamW, 初始 lr=0.005, 调度策略: ReduceLROnPlateau(factor=0.5, patience=6)
[2026-01-29 14:12:32][INFO] [Epoch 097] MSE Loss=533.322767 | PDE Loss=1624.716332 | λ_pde=5.613e-03 | LR=3.13e-04
[2026-01-29 14:14:52][INFO] [Epoch 098] MSE Loss=534.590394 | PDE Loss=1664.932904 | λ_pde=5.448e-03 | LR=3.13e-04
[2026-01-29 14:17:09][INFO] [Epoch 099] MSE Loss=529.627478 | PDE Loss=1705.347107 | λ_pde=5.287e-03 | LR=3.13e-04
[2026-01-29 14:19:31][INFO] [Epoch 100] MSE Loss=529.053570 | PDE Loss=1754.622321 | λ_pde=5.130e-03 | LR=3.13e-04
[2026-01-29 14:21:51][INFO] [Epoch 101] MSE Loss=528.394664 | PDE Loss=1753.123525 | λ_pde=4.979e-03 | LR=3.13e-04
[2026-01-29 14:24:07][INFO] [Epoch 102] MSE Loss=533.353124 | PDE Loss=1815.603716 | λ_pde=4.832e-03 | LR=3.13e-04
[2026-01-29 14:26:23][INFO] [Epoch 103] MSE Loss=522.438872 | PDE Loss=1831.910225 | λ_pde=4.689e-03 | LR=3.13e-04
[2026-01-29 14:28:45][INFO] [Epoch 104] MSE Loss=532.258522 | PDE Loss=1885.219858 | λ_pde=4.550e-03 | LR=3.13e-04
[2026-01-29 14:31:03][INFO] [Epoch 105] MSE Loss=529.235407 | PDE Loss=1923.267679 | λ_pde=4.416e-03 | LR=3.13e-04
[2026-01-29 14:33:22][INFO] [Epoch 106] MSE Loss=529.934020 | PDE Loss=1966.711073 | λ_pde=4.285e-03 | LR=3.13e-04
[2026-01-29 14:35:40][INFO] [Epoch 107] MSE Loss=523.911655 | PDE Loss=1992.858862 | λ_pde=4.159e-03 | LR=3.13e-04
[2026-01-29 14:37:56][INFO] [Epoch 108] MSE Loss=528.584341 | PDE Loss=2049.908292 | λ_pde=4.036e-03 | LR=3.13e-04
[2026-01-29 14:40:13][INFO] [Epoch 109] MSE Loss=525.476886 | PDE Loss=2093.310565 | λ_pde=3.916e-03 | LR=3.13e-04
[2026-01-29 14:42:29][INFO] [Epoch 110] MSE Loss=525.938743 | PDE Loss=2135.727194 | λ_pde=3.801e-03 | LR=3.13e-04
[2026-01-29 14:44:46][INFO] [Epoch 111] MSE Loss=525.235460 | PDE Loss=2139.212481 | λ_pde=3.688e-03 | LR=1.56e-04
[2026-01-29 14:47:02][INFO] [Epoch 112] MSE Loss=521.114697 | PDE Loss=2171.348920 | λ_pde=3.579e-03 | LR=1.56e-04
[2026-01-29 14:49:19][INFO] [Epoch 113] MSE Loss=519.268154 | PDE Loss=2206.763237 | λ_pde=3.474e-03 | LR=1.56e-04
[2026-01-29 14:51:35][INFO] [Epoch 114] MSE Loss=521.515681 | PDE Loss=2241.956693 | λ_pde=3.371e-03 | LR=1.56e-04
[2026-01-29 14:53:55][INFO] [Epoch 115] MSE Loss=519.867840 | PDE Loss=2279.892874 | λ_pde=3.271e-03 | LR=1.56e-04
[2026-01-29 14:56:16][INFO] [Epoch 116] MSE Loss=518.064180 | PDE Loss=2321.261091 | λ_pde=3.175e-03 | LR=1.56e-04
[2026-01-29 14:58:37][INFO] [Epoch 117] MSE Loss=519.158468 | PDE Loss=2310.612482 | λ_pde=3.081e-03 | LR=1.56e-04
[2026-01-29 15:00:53][INFO] [Epoch 118] MSE Loss=520.621323 | PDE Loss=2360.388690 | λ_pde=2.990e-03 | LR=1.56e-04
[2026-01-29 15:03:12][INFO] [Epoch 119] MSE Loss=518.883516 | PDE Loss=2397.891420 | λ_pde=2.901e-03 | LR=1.56e-04
[2026-01-29 15:05:35][INFO] [Epoch 120] MSE Loss=514.351011 | PDE Loss=2410.535912 | λ_pde=2.816e-03 | LR=1.56e-04
[2026-01-29 15:07:53][INFO] [Epoch 121] MSE Loss=518.417870 | PDE Loss=2428.165703 | λ_pde=2.732e-03 | LR=1.56e-04
[2026-01-29 15:10:11][INFO] [Epoch 122] MSE Loss=521.544223 | PDE Loss=2491.090166 | λ_pde=2.652e-03 | LR=1.56e-04
[2026-01-29 15:12:29][INFO] [Epoch 123] MSE Loss=516.674283 | PDE Loss=2533.519721 | λ_pde=2.573e-03 | LR=1.56e-04
[2026-01-29 15:14:51][INFO] [Epoch 124] MSE Loss=518.228813 | PDE Loss=2542.848518 | λ_pde=2.497e-03 | LR=1.56e-04
